text,emotion
I am so happy today!,happy
Life feels wonderful!,happy
Everything is going well.,happy
I just got a promotion!,happy
It's a perfect day.,happy
I can't stop smiling.,happy
The sun is shining bright!,happy
My dog greeted me with love!,happy
I love my family.,happy
This vacation is amazing!,happy
I am so happy today!,happy
Life feels wonderful!,happy
Everything is going well.,happy
I just got a promotion!,happy
It's a perfect day.,happy
I can't stop smiling.,happy
The sun is shining bright!,happy
My dog greeted me with love!,happy
I love my family.,happy
This vacation is amazing!,happy
I am so happy today!,happy
Life feels wonderful!,happy
Everything is going well.,happy
I just got a promotion!,happy
It's a perfect day.,happy
I can't stop smiling.,happy
The sun is shining bright!,happy
My dog greeted me with love!,happy
I love my family.,happy
This vacation is amazing!,happy
I am so happy today!,happy
Life feels wonderful!,happy
Everything is going well.,happy
I just got a promotion!,happy
It's a perfect day.,happy
I can't stop smiling.,happy
The sun is shining bright!,happy
My dog greeted me with love!,happy
I love my family.,happy
This vacation is amazing!,happy
I am so happy today!,happy
Life feels wonderful!,happy
Everything is going well.,happy
I just got a promotion!,happy
It's a perfect day.,happy
I can't stop smiling.,happy
The sun is shining bright!,happy
My dog greeted me with love!,happy
I love my family.,happy
This vacation is amazing!,happy
I am so happy today!,happy
Life feels wonderful!,happy
Everything is going well.,happy
I just got a promotion!,happy
It's a perfect day.,happy
I can't stop smiling.,happy
The sun is shining bright!,happy
My dog greeted me with love!,happy
I love my family.,happy
This vacation is amazing!,happy
I am so happy today!,happy
Life feels wonderful!,happy
Everything is going well.,happy
I just got a promotion!,happy
It's a perfect day.,happy
I can't stop smiling.,happy
The sun is shining bright!,happy
My dog greeted me with love!,happy
I love my family.,happy
This vacation is amazing!,happy
I am so happy today!,happy
Life feels wonderful!,happy
Everything is going well.,happy
I just got a promotion!,happy
It's a perfect day.,happy
I can't stop smiling.,happy
The sun is shining bright!,happy
My dog greeted me with love!,happy
I love my family.,happy
This vacation is amazing!,happy
I am so happy today!,happy
Life feels wonderful!,happy
Everything is going well.,happy
I just got a promotion!,happy
It's a perfect day.,happy
I can't stop smiling.,happy
The sun is shining bright!,happy
My dog greeted me with love!,happy
I love my family.,happy
This vacation is amazing!,happy
I am so happy today!,happy
Life feels wonderful!,happy
Everything is going well.,happy
I just got a promotion!,happy
It's a perfect day.,happy
I can't stop smiling.,happy
The sun is shining bright!,happy
My dog greeted me with love!,happy
I love my family.,happy
This vacation is amazing!,happy
I feel so alone.,sad
Life is tough today.,sad
I want to cry.,sad
Nothing feels good.,sad
I'm feeling down.,sad
I miss my friend.,sad
I feel broken.,sad
This is heartbreaking.,sad
I’m really struggling.,sad
I can’t stop thinking about it.,sad
I feel so alone.,sad
Life is tough today.,sad
I want to cry.,sad
Nothing feels good.,sad
I'm feeling down.,sad
I miss my friend.,sad
I feel broken.,sad
This is heartbreaking.,sad
I’m really struggling.,sad
I can’t stop thinking about it.,sad
I feel so alone.,sad
Life is tough today.,sad
I want to cry.,sad
Nothing feels good.,sad
I'm feeling down.,sad
I miss my friend.,sad
I feel broken.,sad
This is heartbreaking.,sad
I’m really struggling.,sad
I can’t stop thinking about it.,sad
I feel so alone.,sad
Life is tough today.,sad
I want to cry.,sad
Nothing feels good.,sad
I'm feeling down.,sad
I miss my friend.,sad
I feel broken.,sad
This is heartbreaking.,sad
I’m really struggling.,sad
I can’t stop thinking about it.,sad
I feel so alone.,sad
Life is tough today.,sad
I want to cry.,sad
Nothing feels good.,sad
I'm feeling down.,sad
I miss my friend.,sad
I feel broken.,sad
This is heartbreaking.,sad
I’m really struggling.,sad
I can’t stop thinking about it.,sad
I feel so alone.,sad
Life is tough today.,sad
I want to cry.,sad
Nothing feels good.,sad
I'm feeling down.,sad
I miss my friend.,sad
I feel broken.,sad
This is heartbreaking.,sad
I’m really struggling.,sad
I can’t stop thinking about it.,sad
I feel so alone.,sad
Life is tough today.,sad
I want to cry.,sad
Nothing feels good.,sad
I'm feeling down.,sad
I miss my friend.,sad
I feel broken.,sad
This is heartbreaking.,sad
I’m really struggling.,sad
I can’t stop thinking about it.,sad
I feel so alone.,sad
Life is tough today.,sad
I want to cry.,sad
Nothing feels good.,sad
I'm feeling down.,sad
I miss my friend.,sad
I feel broken.,sad
This is heartbreaking.,sad
I’m really struggling.,sad
I can’t stop thinking about it.,sad
I feel so alone.,sad
Life is tough today.,sad
I want to cry.,sad
Nothing feels good.,sad
I'm feeling down.,sad
I miss my friend.,sad
I feel broken.,sad
This is heartbreaking.,sad
I’m really struggling.,sad
I can’t stop thinking about it.,sad
I feel so alone.,sad
Life is tough today.,sad
I want to cry.,sad
Nothing feels good.,sad
I'm feeling down.,sad
I miss my friend.,sad
I feel broken.,sad
This is heartbreaking.,sad
I’m really struggling.,sad
I can’t stop thinking about it.,sad
Why is this happening again?,angry
I’m so frustrated!,angry
This is unacceptable.,angry
He cut me off in traffic!,angry
I hate delays!,angry
They never listen to me.,angry
That’s so rude!,angry
I feel disrespected.,angry
Stop bothering me!,angry
I’m furious!,angry
Why is this happening again?,angry
I’m so frustrated!,angry
This is unacceptable.,angry
He cut me off in traffic!,angry
I hate delays!,angry
They never listen to me.,angry
That’s so rude!,angry
I feel disrespected.,angry
Stop bothering me!,angry
I’m furious!,angry
Why is this happening again?,angry
I’m so frustrated!,angry
This is unacceptable.,angry
He cut me off in traffic!,angry
I hate delays!,angry
They never listen to me.,angry
That’s so rude!,angry
I feel disrespected.,angry
Stop bothering me!,angry
I’m furious!,angry
Why is this happening again?,angry
I’m so frustrated!,angry
This is unacceptable.,angry
He cut me off in traffic!,angry
I hate delays!,angry
They never listen to me.,angry
That’s so rude!,angry
I feel disrespected.,angry
Stop bothering me!,angry
I’m furious!,angry
Why is this happening again?,angry
I’m so frustrated!,angry
This is unacceptable.,angry
He cut me off in traffic!,angry
I hate delays!,angry
They never listen to me.,angry
That’s so rude!,angry
I feel disrespected.,angry
Stop bothering me!,angry
I’m furious!,angry
Why is this happening again?,angry
I’m so frustrated!,angry
This is unacceptable.,angry
He cut me off in traffic!,angry
I hate delays!,angry
They never listen to me.,angry
That’s so rude!,angry
I feel disrespected.,angry
Stop bothering me!,angry
I’m furious!,angry
Why is this happening again?,angry
I’m so frustrated!,angry
This is unacceptable.,angry
He cut me off in traffic!,angry
I hate delays!,angry
They never listen to me.,angry
That’s so rude!,angry
I feel disrespected.,angry
Stop bothering me!,angry
I’m furious!,angry
Why is this happening again?,angry
I’m so frustrated!,angry
This is unacceptable.,angry
He cut me off in traffic!,angry
I hate delays!,angry
They never listen to me.,angry
That’s so rude!,angry
I feel disrespected.,angry
Stop bothering me!,angry
I’m furious!,angry
Why is this happening again?,angry
I’m so frustrated!,angry
This is unacceptable.,angry
He cut me off in traffic!,angry
I hate delays!,angry
They never listen to me.,angry
That’s so rude!,angry
I feel disrespected.,angry
Stop bothering me!,angry
I’m furious!,angry
Why is this happening again?,angry
I’m so frustrated!,angry
This is unacceptable.,angry
He cut me off in traffic!,angry
I hate delays!,angry
They never listen to me.,angry
That’s so rude!,angry
I feel disrespected.,angry
Stop bothering me!,angry
I’m furious!,angry
Wow! That was unexpected.,surprise
You surprised me!,surprise
Oh my God!,surprise
That’s amazing!,surprise
What a twist!,surprise
I didn’t see that coming.,surprise
Is this for real?,surprise
Unbelievable news!,surprise
I’m totally shocked!,surprise
That’s wild!,surprise
Wow! That was unexpected.,surprise
You surprised me!,surprise
Oh my God!,surprise
That’s amazing!,surprise
What a twist!,surprise
I didn’t see that coming.,surprise
Is this for real?,surprise
Unbelievable news!,surprise
I’m totally shocked!,surprise
That’s wild!,surprise
Wow! That was unexpected.,surprise
You surprised me!,surprise
Oh my God!,surprise
That’s amazing!,surprise
What a twist!,surprise
I didn’t see that coming.,surprise
Is this for real?,surprise
Unbelievable news!,surprise
I’m totally shocked!,surprise
That’s wild!,surprise
Wow! That was unexpected.,surprise
You surprised me!,surprise
Oh my God!,surprise
That’s amazing!,surprise
What a twist!,surprise
I didn’t see that coming.,surprise
Is this for real?,surprise
Unbelievable news!,surprise
I’m totally shocked!,surprise
That’s wild!,surprise
Wow! That was unexpected.,surprise
You surprised me!,surprise
Oh my God!,surprise
That’s amazing!,surprise
What a twist!,surprise
I didn’t see that coming.,surprise
Is this for real?,surprise
Unbelievable news!,surprise
I’m totally shocked!,surprise
That’s wild!,surprise
Wow! That was unexpected.,surprise
You surprised me!,surprise
Oh my God!,surprise
That’s amazing!,surprise
What a twist!,surprise
I didn’t see that coming.,surprise
Is this for real?,surprise
Unbelievable news!,surprise
I’m totally shocked!,surprise
That’s wild!,surprise
Wow! That was unexpected.,surprise
You surprised me!,surprise
Oh my God!,surprise
That’s amazing!,surprise
What a twist!,surprise
I didn’t see that coming.,surprise
Is this for real?,surprise
Unbelievable news!,surprise
I’m totally shocked!,surprise
That’s wild!,surprise
No way! Really?,surprise
This blew my mind.,surprise
I can't believe it.,surprise
That was random.,surprise
Out of the blue!,surprise
I feel scared.,fear
I can’t move.,fear
What was that noise?,fear
I feel unsafe.,fear
I’m trembling.,fear
I heard something outside.,fear
I'm too afraid to speak.,fear
It’s dark and cold.,fear
My heart is racing.,fear
I’m hiding under the blanket.,fear
I feel scared.,fear
I can’t move.,fear
What was that noise?,fear
I feel unsafe.,fear
I’m trembling.,fear
I heard something outside.,fear
I'm too afraid to speak.,fear
It’s dark and cold.,fear
My heart is racing.,fear
I’m hiding under the blanket.,fear
I feel scared.,fear
I can’t move.,fear
What was that noise?,fear
I feel unsafe.,fear
I’m trembling.,fear
I heard something outside.,fear
I'm too afraid to speak.,fear
It’s dark and cold.,fear
My heart is racing.,fear
I’m hiding under the blanket.,fear
I feel scared.,fear
I can’t move.,fear
What was that noise?,fear
I feel unsafe.,fear
I’m trembling.,fear
I heard something outside.,fear
I'm too afraid to speak.,fear
It’s dark and cold.,fear
My heart is racing.,fear
I’m hiding under the blanket.,fear
I feel scared.,fear
I can’t move.,fear
What was that noise?,fear
I feel unsafe.,fear
I’m trembling.,fear
I heard something outside.,fear
I'm too afraid to speak.,fear
It’s dark and cold.,fear
My heart is racing.,fear
I’m hiding under the blanket.,fear
I feel scared.,fear
I can’t move.,fear
What was that noise?,fear
I feel unsafe.,fear
I’m trembling.,fear
I heard something outside.,fear
I'm too afraid to speak.,fear
It’s dark and cold.,fear
My heart is racing.,fear
I’m hiding under the blanket.,fear
I feel scared.,fear
I can’t move.,fear
What was that noise?,fear
I feel unsafe.,fear
I’m trembling.,fear
I heard something outside.,fear
I'm too afraid to speak.,fear
It’s dark and cold.,fear
My heart is racing.,fear
I’m hiding under the blanket.,fear
Please don’t leave me alone.,fear
That shadow moved.,fear
I feel paranoid.,fear
What if something happens?,fear
It’s like a horror movie.,fear
I’m going to work.,neutral
The sky is blue.,neutral
I had rice for lunch.,neutral
I will read later.,neutral
The road is busy today.,neutral
There’s a pen on the desk.,neutral
He went to school.,neutral
They are watching TV.,neutral
She is cooking.,neutral
It is raining.,neutral
I’m going to work.,neutral
The sky is blue.,neutral
I had rice for lunch.,neutral
I will read later.,neutral
The road is busy today.,neutral
There’s a pen on the desk.,neutral
He went to school.,neutral
They are watching TV.,neutral
She is cooking.,neutral
It is raining.,neutral
I’m going to work.,neutral
The sky is blue.,neutral
I had rice for lunch.,neutral
I will read later.,neutral
The road is busy today.,neutral
There’s a pen on the desk.,neutral
He went to school.,neutral
They are watching TV.,neutral
She is cooking.,neutral
It is raining.,neutral
I’m going to work.,neutral
The sky is blue.,neutral
I had rice for lunch.,neutral
I will read later.,neutral
The road is busy today.,neutral
There’s a pen on the desk.,neutral
He went to school.,neutral
They are watching TV.,neutral
She is cooking.,neutral
It is raining.,neutral
I’m going to work.,neutral
The sky is blue.,neutral
I had rice for lunch.,neutral
I will read later.,neutral
The road is busy today.,neutral
There’s a pen on the desk.,neutral
He went to school.,neutral
They are watching TV.,neutral
She is cooking.,neutral
It is raining.,neutral
I’m going to work.,neutral
The sky is blue.,neutral
I had rice for lunch.,neutral
I will read later.,neutral
The road is busy today.,neutral
There’s a pen on the desk.,neutral
He went to school.,neutral
They are watching TV.,neutral
She is cooking.,neutral
It is raining.,neutral
